class,race_id,win_order,name,ts,stamina,sprinting,jockey,run_speed,intel,cooperation,acceleration,course_length
c,45,5,MIKE,82,546,0,2,1765,50,100,50,0
c,45,3,RICA,79,542,0,0,1723,50,100,50,0
c,45,0,TIM,81,511,0,1,1709,100,100,50,0
c,46,2,HARVEY,82,543,0,0,1884,100,100,50,0
c,46,5,PETER,81,551,0,2,1765,50,100,50,0
c,46,0,BLUES,84,518,0,1,1704,100,100,50,0
c,46,1,GREY,87,512,0,3,1801,50,100,50,0
c,46,3,KNIGHT,75,519,1,0,1816,100,100,50,0
c,46,4,TERRY,77,536,1,1,1748,100,100,50,0
c,47,2,LIA,88,527,0,1,1863,50,100,50,0
c,47,4,ELEN,76,519,0,3,1721,50,100,50,0
c,47,1,GRAHAM,80,540,0,1,1889,50,100,50,0
c,47,5,KNIGHT,82,532,0,2,1849,50,100,50,0
c,47,0,SEAN,83,504,0,1,1737,50,100,50,0
c,47,3,NANCY,87,501,0,1,1807,50,100,50,0
c,48,5,DARIO,87,552,0,2,1811,100,100,50,0
c,48,2,SAMMY,83,551,0,0,1700,100,100,50,0
c,48,3,TERRY,76,509,0,3,1842,100,100,50,0
c,48,4,CLIVE,84,548,0,1,1795,100,100,50,0
c,48,0,PETER,88,520,0,0,1741,50,100,50,0
c,48,1,SEAN,78,559,0,3,1847,50,100,50,0
c,49,4,ELEN,81,503,0,3,1722,50,100,50,0
c,49,2,HARVEY,77,527,0,3,1741,100,100,50,0
c,49,1,JOHN,85,506,1,0,1882,100,100,50,0
c,49,3,GEORGE,88,535,0,0,1886,100,100,50,0
c,49,5,PETER,76,509,1,2,1884,100,100,50,0
c,49,0,KNIGHT,82,509,0,1,1736,100,100,50,0
c,50,4,ELEN,76,536,0,0,1751,100,100,50,0
c,50,1,SAM,86,557,0,0,1866,50,100,50,0
c,50,2,NANCY,75,513,0,3,1863,100,100,50,0
c,50,5,ARL,86,502,0,2,1773,100,100,50,0
c,50,3,SEAN,86,501,0,0,1705,50,100,50,0
c,50,0,ROBIN,83,511,0,1,1819,50,100,50,0
c,51,1,JOHN,83,523,0,2,1837,100,100,50,0
c,51,4,KNIGHT,76,528,0,0,1713,50,100,50,0
c,51,5,BLUES,79,517,0,3,1777,50,100,50,0
c,51,3,ROBIN,78,512,0,0,1851,50,100,50,0
c,51,0,EDWARD,81,556,0,0,1884,100,100,50,0
c,51,2,LIA,78,555,0,3,1715,50,100,50,0
c,52,2,LY,74,556,0,0,1761,100,100,50,0
c,52,4,JAMES,76,521,0,2,1883,50,100,50,0
c,52,5,TOM,78,540,0,2,1859,100,100,50,0
c,52,0,PETER,84,541,0,3,1819,50,100,50,0
c,52,1,MARIE,88,515,0,1,1788,50,100,50,0
c,52,3,SAMMY,84,538,0,2,1894,50,100,50,0
c,53,0,CLIVE,85,522,0,3,1821,50,100,50,0
c,53,1,EDWARD,86,518,0,3,1869,50,100,50,0
c,53,4,JOEL,75,542,0,3,1765,50,100,50,0
c,53,3,TOM,87,543,0,3,1742,100,100,50,0
c,53,5,TERRY,85,539,0,0,1717,100,100,50,0
c,53,2,SAMMY,81,504,0,2,1814,100,100,50,0
c,54,4,GREY,74,549,0,3,1744,100,100,50,0
c,54,0,MARIE,76,513,0,1,1771,50,100,50,0
c,54,2,SEAN,87,516,0,0,1732,50,100,50,0
c,54,3,LE,79,550,1,3,1878,50,100,50,0
c,54,5,DAN,77,524,0,2,1768,100,100,50,0
c,54,1,HARVEY,79,553,0,1,1811,100,100,50,0
c,55,1,GEORGE,83,524,0,3,1863,50,100,50,0
c,55,2,LIA,80,548,0,3,1700,100,100,50,0
c,55,3,JAMES,84,537,0,3,1707,100,100,50,0
c,55,0,LY,84,534,1,3,1722,100,100,50,0
c,55,4,NANCY,84,509,0,3,1738,50,100,50,0
c,55,5,AIMEE,87,506,0,3,1724,100,100,50,0
c,56,4,ELEN,86,557,0,1,1739,50,100,50,0
c,56,2,JAMES,77,537,1,3,1848,100,100,50,0
c,56,1,TOM,86,515,1,3,1739,100,100,50,0
c,56,3,NANCY,75,531,0,1,1849,100,100,50,0
c,56,0,SANDY,85,508,0,0,1816,100,100,50,0
c,56,5,ARL,87,506,0,2,1855,100,100,50,0
c,57,1,TIM,84,552,0,3,1721,100,100,50,0
c,57,5,SEAN,87,524,1,2,1864,50,100,50,0
c,57,2,KNIGHT,87,541,0,0,1732,100,100,50,0
c,57,3,HARVEY,85,509,0,3,1709,50,100,50,0
c,57,0,LIA,84,559,0,1,1838,50,100,50,0
c,57,4,PETER,83,550,0,1,1843,50,100,50,0
c,58,4,MARIE,75,530,0,2,1815,100,100,50,0
c,58,2,EDWARD,74,537,1,1,1716,50,100,50,0
c,58,5,RICA,85,506,0,2,1721,50,100,50,0
c,58,1,NANCY,81,543,0,3,1743,50,100,50,0
c,58,0,GEORGE,85,512,0,0,1855,100,100,50,0
c,58,3,SARA,84,507,1,0,1714,100,100,50,0
c,59,5,HARVEY,86,551,0,2,1876,50,100,50,0
c,59,1,GRAHAM,75,510,0,1,1756,50,100,50,0
c,59,0,MIKE,83,531,0,0,1763,50,100,50,0
c,59,2,JU,76,556,0,3,1795,100,100,50,0
c,59,4,PAULA,86,554,0,2,1898,50,100,50,0
c,59,3,RUDY,83,540,0,3,1813,50,100,50,0
c,60,4,ANDY,83,511,0,3,1753,50,100,50,0
